nugget_id,nugget_type
ACCOUNT_EXTERNAL_OWNED,ENTITY
ACCOUNT_EXTERNAL_OWNED_COMPROMISED,DESCRIPTOR
ACCOUNT_EXTERNAL_USER_SHARED_COMPROMISED,DESCRIPTOR
AFFILIATE_COMPANY_NAME,ENTITY
AFFILIATE_DESCRIPTION_ABSTRACT,DESCRIPTOR
AFFILIATE_DESCRIPTION_CATEGORY,DESCRIPTOR
AFFILIATE_DOMAIN_NAME,ENTITY
AFFILIATE_DOMAIN_UNREGISTERED,ENTITY
AFFILIATE_DOMAIN_WHOIS,DATA
AFFILIATE_EMAILADDR,ENTITY
AFFILIATE_INTERNET_NAME,ENTITY
AFFILIATE_INTERNET_NAME_HIJACKABLE,ENTITY
AFFILIATE_INTERNET_NAME_UNRESOLVED,ENTITY
AFFILIATE_IPADDR,ENTITY
AFFILIATE_IPV6_ADDRESS,ENTITY
AFFILIATE_WEB_CONTENT,DATA
APPSTORE_ENTRY,ENTITY
BASE64_DATA,DATA
BGP_AS_MEMBER,ENTITY
BGP_AS_OWNER,ENTITY
BITCOIN_ADDRESS,ENTITY
BITCOIN_BALANCE,DESCRIPTOR
BLACKLISTED_AFFILIATE_INTERNET_NAME,DESCRIPTOR
BLACKLISTED_AFFILIATE_IPADDR,DESCRIPTOR
BLACKLISTED_COHOST,DESCRIPTOR
BLACKLISTED_INTERNET_NAME,DESCRIPTOR
BLACKLISTED_IPADDR,DESCRIPTOR
BLACKLISTED_NETBLOCK,DESCRIPTOR
BLACKLISTED_SUBNET,DESCRIPTOR
CLOUD_STORAGE_BUCKET,ENTITY
CLOUD_STORAGE_BUCKET_OPEN,DESCRIPTOR
COMPANY_NAME,ENTITY
COUNTRY_NAME,ENTITY
CO_HOSTED_SITE,ENTITY
CO_HOSTED_SITE_DOMAIN,ENTITY
CO_HOSTED_SITE_DOMAIN_WHOIS,DATA
CREDIT_CARD_NUMBER,ENTITY
DARKNET_MENTION_CONTENT,DATA
DARKNET_MENTION_URL,DESCRIPTOR
DATE_HUMAN_DOB,ENTITY
DEFACED_AFFILIATE_INTERNET_NAME,DESCRIPTOR
DEFACED_AFFILIATE_IPADDR,DESCRIPTOR
DEFACED_COHOST,DESCRIPTOR
DEFACED_INTERNET_NAME,DESCRIPTOR
DEFACED_IPADDR,DESCRIPTOR
DESCRIPTION_ABSTRACT,DESCRIPTOR
DESCRIPTION_CATEGORY,DESCRIPTOR
DEVICE_TYPE,DESCRIPTOR
DNS_SPF,DATA
DNS_SRV,DATA
DNS_TEXT,DATA
DOMAIN_NAME,ENTITY
DOMAIN_NAME_PARENT,ENTITY
DOMAIN_REGISTRAR,ENTITY
DOMAIN_WHOIS,DATA
EMAILADDR,ENTITY
EMAILADDR_COMPROMISED,DESCRIPTOR
EMAILADDR_DELIVERABLE,DESCRIPTOR
EMAILADDR_DISPOSABLE,DESCRIPTOR
EMAILADDR_GENERIC,ENTITY
EMAILADDR_UNDELIVERABLE,DESCRIPTOR
ERROR_MESSAGE,DATA
ETHEREUM_ADDRESS,ENTITY
ETHEREUM_BALANCE,DESCRIPTOR
GEOINFO,DESCRIPTOR
HASH,DATA
HASH_COMPROMISED,DATA
HTTP_CODE,DATA
HUMAN_NAME,ENTITY
IBAN_NUMBER,ENTITY
INTERESTING_FILE,DESCRIPTOR
INTERESTING_FILE_HISTORIC,DESCRIPTOR
INTERNAL_IP_ADDRESS,ENTITY
INTERNET_NAME,ENTITY
INTERNET_NAME_UNRESOLVED,ENTITY
IPV6_ADDRESS,ENTITY
IP_ADDRESS,ENTITY
JOB_TITLE,DESCRIPTOR
JUNK_FILE,DESCRIPTOR
LEAKSITE_CONTENT,DATA
LEAKSITE_URL,ENTITY
LEI,ENTITY
LINKED_URL_EXTERNAL,SUBENTITY
LINKED_URL_INTERNAL,SUBENTITY
MALICIOUS_AFFILIATE_INTERNET_NAME,DESCRIPTOR
MALICIOUS_AFFILIATE_IPADDR,DESCRIPTOR
MALICIOUS_ASN,DESCRIPTOR
MALICIOUS_BITCOIN_ADDRESS,DESCRIPTOR
MALICIOUS_COHOST,DESCRIPTOR
MALICIOUS_EMAILADDR,DESCRIPTOR
MALICIOUS_INTERNET_NAME,DESCRIPTOR
MALICIOUS_IPADDR,DESCRIPTOR
MALICIOUS_NETBLOCK,DESCRIPTOR
MALICIOUS_PHONE_NUMBER,DESCRIPTOR
MALICIOUS_SUBNET,DESCRIPTOR
NETBLOCKV6_MEMBER,ENTITY
NETBLOCKV6_OWNER,ENTITY
NETBLOCK_MEMBER,ENTITY
NETBLOCK_OWNER,ENTITY
NETBLOCK_WHOIS,DATA
OPERATING_SYSTEM,DESCRIPTOR
PASSWORD_COMPROMISED,DATA
PGP_KEY,DATA
PHONE_NUMBER,ENTITY
PHONE_NUMBER_COMPROMISED,DESCRIPTOR
PHONE_NUMBER_TYPE,DESCRIPTOR
PHYSICAL_ADDRESS,ENTITY
PHYSICAL_COORDINATES,ENTITY
PROVIDER_DNS,ENTITY
PROVIDER_HOSTING,ENTITY
PROVIDER_JAVASCRIPT,ENTITY
PROVIDER_MAIL,ENTITY
PROVIDER_TELCO,ENTITY
PROXY_HOST,DESCRIPTOR
PUBLIC_CODE_REPO,ENTITY
RAW_DNS_RECORDS,DATA
RAW_FILE_META_DATA,DATA
RAW_RIR_DATA,DATA
ROOT,INTERNAL
SEARCH_ENGINE_WEB_CONTENT,DATA
SIMILARDOMAIN,ENTITY
SIMILARDOMAIN_WHOIS,DATA
SIMILAR_ACCOUNT_EXTERNAL,ENTITY
SOCIAL_MEDIA,ENTITY
SOFTWARE_USED,SUBENTITY
SSL_CERTIFICATE_EXPIRED,DESCRIPTOR
SSL_CERTIFICATE_EXPIRING,DESCRIPTOR
SSL_CERTIFICATE_ISSUED,ENTITY
SSL_CERTIFICATE_ISSUER,ENTITY
SSL_CERTIFICATE_MISMATCH,DESCRIPTOR
SSL_CERTIFICATE_RAW,DATA
TARGET_WEB_CONTENT,DATA
TARGET_WEB_CONTENT_TYPE,DESCRIPTOR
TARGET_WEB_COOKIE,DATA
TCP_PORT_OPEN,SUBENTITY
TCP_PORT_OPEN_BANNER,DATA
TOR_EXIT_NODE,DESCRIPTOR
UDP_PORT_OPEN,SUBENTITY
UDP_PORT_OPEN_INFO,DATA
URL_ADBLOCKED_EXTERNAL,DESCRIPTOR
URL_ADBLOCKED_INTERNAL,DESCRIPTOR
URL_FLASH,DESCRIPTOR
URL_FLASH_HISTORIC,DESCRIPTOR
URL_FORM,DESCRIPTOR
URL_FORM_HISTORIC,DESCRIPTOR
URL_JAVASCRIPT,DESCRIPTOR
URL_JAVASCRIPT_HISTORIC,DESCRIPTOR
URL_JAVA_APPLET,DESCRIPTOR
URL_JAVA_APPLET_HISTORIC,DESCRIPTOR
URL_PASSWORD,DESCRIPTOR
URL_PASSWORD_HISTORIC,DESCRIPTOR
URL_STATIC,DESCRIPTOR
URL_STATIC_HISTORIC,DESCRIPTOR
URL_UPLOAD,DESCRIPTOR
URL_UPLOAD_HISTORIC,DESCRIPTOR
URL_WEB_FRAMEWORK,DESCRIPTOR
URL_WEB_FRAMEWORK_HISTORIC,DESCRIPTOR
USERNAME,ENTITY
VPN_HOST,DESCRIPTOR
VULNERABILITY_CVE_CRITICAL,DESCRIPTOR
VULNERABILITY_CVE_HIGH,DESCRIPTOR
VULNERABILITY_CVE_LOW,DESCRIPTOR
VULNERABILITY_CVE_MEDIUM,DESCRIPTOR
VULNERABILITY_DISCLOSURE,DESCRIPTOR
VULNERABILITY_GENERAL,DESCRIPTOR
WEBSERVER_BANNER,DATA
WEBSERVER_HTTPHEADERS,DATA
WEBSERVER_STRANGEHEADER,DATA
WEBSERVER_TECHNOLOGY,DESCRIPTOR
WEB_ANALYTICS_ID,ENTITY
WIFI_ACCESS_POINT,ENTITY
WIKIPEDIA_PAGE_EDIT,DESCRIPTOR
