# SpiderFeet CLI examination capture
# command: & '.seed/scripts/cli_corpus/run_netdiscover_lan.ps1' -Mode parsable -Range '192.168.1.0/24'
# scenario: A — active ARP scan 192.168.1.0/24 (parseable)
# captured_at: 2026-06-29T14:34:37.451323+00:00

   IP            At MAC Address     Count     Len  MAC Vendor / Hostname      
 -----------------------------------------------------------------------------
 192.168.1.1     14:5f:94:d8:7a:5f     1    42  Unknown
 192.168.1.10    02:0f:b5:2f:b0:73     1    42  Unknown
 192.168.1.14    02:0f:b5:b7:bd:29     1    42  Unknown
 192.168.1.15    5a:ba:45:91:e3:41     1    42  Unknown
 192.168.1.16    3e:48:b2:24:45:34     1    42  Unknown
 192.168.1.2     02:0f:b5:23:c6:49     1    42  Unknown
 192.168.1.250   02:0f:b5:46:32:8f     1    42  Unknown
 192.168.1.3     3c:a3:08:a4:d1:8d     1    42  Unknown
 192.168.1.4     02:0f:b5:0a:e3:6c     1    42  Unknown
 192.168.1.6     88:d8:2e:c2:2c:0c     1    42  Unknown
 192.168.1.7     cc:c7:60:67:89:48     1    42  Unknown
 192.168.1.8     02:0f:b5:b0:a8:79     1    42  Unknown

-- Active scan completed, 12 Hosts found.
